Ethnicity,Language & Origin,Primary homeland,"Subgroups, tribes & castes",Majority (plurality) religion and sect
Assyrians,Afroasiatic → Semitic → Neo-Aramaic[note 12],"Assyria (Iraq, Iran, Syria, Turkey)[note 13]","Iraqi Assyrians, Turkish Assyrians, Syrian Assyrians and Iranian Assyrians. Groupings include Chaldean Assyrians from Nineveh and Bohtan, Syriac Assyrians from Tur Abdin, Hakkari and Urmia tribes including; Tyari, Jilu, Baz, Tkhuma, Nochiya. Majority in diaspora",Christianity → Syriac Christianity
Atayals,Austronesian → Formosan → Atayal,Taiwan,,"Animism, Christianity"
Atoni,Austronesian → Timoric → Uab Meto,"West Timor (Indonesia), Oecusse (East Timor)",Amarasi,Christianity
Atyap,Niger–Congo → Plateau → Atyap,Kaduna State (Nigeria),,Christianity
Austrians,Indo-European → Germanic → German → Bavarian,"Austria, South Tyrol","Significant populations in United States, Canada, and Australia",Christianity → Catholicism
Avars,Northeast Caucasian → Avar,Dagestan (Russia),,Islam → Sunni Islam
Awadhis,Indo-European → Indo-Aryan → Hindustani → Awadhi,Awadh (India),Barhai,Hinduism
Aymara,Aymaran → Aymara,"Bolivia, Peru, Chile",Mestizos such as Bolivians,Christianity → Catholicism
Azerbaijanis,Turkic → Oghuz → Azeri,"Azerbaijan, Iranian Azerbaijan (Iran)","Ayrums, Bayat, Karadaghis, Qajars, Küresünni, Padar, Qarapapaqs, Shahsevan, Terekeme, Yeraz, Afshar, Iranian Azeris, along with significant populations in Georgia and Russia",Islam → Shia Islam
Bahnar,Austroasiatic → Bahnar,"Central Highlands, Vietnam",,Animism
Bai,Sino-Tibetan → Bai,Dali Bai Autonomous Prefecture (China),,Buddhism
Bakossi,Niger–Congo → Bantu → Akoose,Bakossi Mountains (Cameroon),,Christianity → Catholicism
Balanta,Niger–Congo → West Atlantic → Senegambian → Balanta,"Guinea-Bissau, Senegal, The Gambia",,Traditional African religions
Balinese,Austronesian → Balinese,Bali (Indonesia),Bali Aga,Hinduism → Balinese Hinduism
Balkars,Turkic → Kipchak → Balkar,Kabardino-Balkaria (Russia),,Islam → Sunni Islam
Balochs,Indo-European → Iranian → Balochi,"Balochistan (Pakistan, Iran, Afghanistan)","Askani, Bajkani, Bangulzai, Barazani, Bhurgari, Bugti, Buledi, Chandio, Darzada, Dehwar, Dodai, Dombki, Gabol, Ghazini, Jamali, Jatoi, Kalmati, Khetran, Kunara, Langhani, Lango, Lashkrani, Loharani, Lund, Marri, Mazari, Mengal, Mirali, Mugheri, Muhammad Shahi, Mullazai, Nothazai, Pitafi, Qaisrani, Rind, Sadozai, Sethwi, Shaikhzadah, Talpur, Tauki, Umrani, Yarahmadzai, Zardari, Makrani, along with significant populations in the United Arab Emirates (including Al Balushi) and Turkmenistan",Islam → Sunni Islam
Balti,Sino-Tibetan → Tibetic → Balti,Gilgit-Baltistan (Pakistan),,Islam → Shia Islam
Bamars,Sino-Tibetan → Burmese,Myanmar,"Taungyo, Yaw, Intha, Danu, Anglo-Burmese",Buddhism → Theravada Buddhism
Bambara,Niger–Congo → Mande → Manding → Bambara,Mali,Haratin,Islam
Bamileke,Niger–Congo → Grassfields → Bamileke[note 2],Cameroon (West and Northwest regions),"Mengaka, Ngiemboon, Ngombale, Ngomba, Ngwe, Yemba, Fe'fe', Ghomala', Kwaʼ, Nda’nda', Medumba",Christianity
Bamum,Niger–Congo → Grassfields → Bamum,West Region (Cameroon),,Islam
Banda,Niger–Congo → Ubangian → Banda[note 2],"Central African Republic, South Sudan, Democratic Republic of the Congo","Central Banda, South Banda, West Banda",Christianity
Banjarese,Austronesian → Malayic → Malay → Banjarese,South Kalimantan (Indonesia),,Islam → Sunni Islam
Bari,Nilo-Saharan → Nilotic → Bari,"Central Equatoria (South Sudan), Uganda","Pojulu, Kakwa, Nyangwara, Mandari, Kuku",Christianity
Bariba,Niger–Congo → Gur → Bariba,"Borgu (Benin, Nigeria)",,Islam
Bashkirs,Turkic → Kipchak → Bashkir,Bashkortostan (Russia),,Islam
Basques,Basque[note 14],"Basque Country (Spain, France)","Significant populations in Argentina, Chile, Colombia, Mexico, Venezuela, and Uruguay",Christianity → Catholicism
Bassa,Niger–Congo → Kru → Bassa,Bassaland (Liberia),,Christianity → Protestantism → Anglicanism
Batak,Austronesian → Northwest Sumatra–Barrier Islands → Batak[note 2],North Sumatra (Indonesia),"Angkola, Karo, Mandailing, Pakpak, Simalungun, Toba, Alas, Kluet, Singkil",Christianity → Protestantism → Lutheranism
Beja,Afroasiatic → Cushitic → Beja,"Sudan, Egypt, Eritrea","Bishari, Ababda, Hadendoa, Hedareb, Amarar, Beni-Amer",Islam → Sunni Islam
Belarusians,Indo-European → Slavic → Belarusian[note 15],Belarus,"Significant populations in the United States, Ukraine, and Russia",Christianity → Eastern Orthodoxy
Bemba,Niger–Congo → Bantu → Bemba,"Zambia (Northern, Luapula, and Copperbelt Provinces), Katanga Province (Democratic Republic of the Congo)",,Christianity → Protestantism
Bembe,Niger–Congo → Bantu → Bembe,"Democratic Republic of the Congo, Tanzania",,Christianity
Bena,Niger–Congo → Bantu → Bena language,Njombe Region (Tanzania),,
Bengalis,Indo-European → Indo-Aryan → Bengali,"Bengal (Bangladesh, India)","Bengali Muslims, Bengali Hindus, Bangladeshis, along with the Bangladeshi diaspora, Bengali Hindu diaspora, (British Bangladeshis, Middle Eastern Bangladeshis, Malaysian Bangladeshis, Bangladeshi Canadians, Italo-Bangladeshis, Polish Bangladeshis, Bangladeshi New Zealanders, Bangladeshi Australians, Maldivian Bangladeshis, Japanese Bangladeshis, Bengali Americans and Bangladeshi Americans), Bangal, Ghotis, Dhakaiyas, Sylhetis",Islam → Sunni Islam Hinduism
Berbers,Afroasiatic → Berber[note 2],"Maghreb (Algeria, Morocco, Tunisia, Libya)","Brabers, Chaouis, Kabyle, Sahrawi, Chenouas, Ghomaras, Hawwara, Jerbis, Matmatas, Mozabite, Nafusis, Rifian, Sanhaja de Srair, Shilha, Siwi, Tuaregs, Awjila, Arab-Berbers (including Algerians, Libyans, Moroccans, and Tunisians), along with significant populations in France, Belgium, and the Netherlands",Islam → Sunni Islam
Berom,Niger–Congo → Plateau → Berom,Plateau State (Nigeria),,Christianity
Berta,Nilo-Saharan → Berta,"Benishangul-Gumuz Region (Ethiopia), South Sudan",,Islam
Betawis,Austronesian → Malayic → Malay → Betawian,Jakarta (Indonesia),,Islam → Sunni Islam
Beti,Niger–Congo → Bantu → Beti[note 16],Cameroon,"Ewondo, Eton",Christianity
Bhils,Indo-European → Indo-Aryan → Bhil[note 2],"India (Madhya Pradesh, Gujarat, Rajasthan, Maharashtra)","Barda, Bhagalia, Bhilala, Bhil Gametia, Bhil Garasia, Bhil Kataria, Bhil Mama, Bhil Mavchi, Dholi Bhil, Dungri Bhil, Damor, Dungri Garasia, Mewasi Bhil, Nirdhi Bhil, Rawal Bhil, Tadvi Bhil, Vasava, Bhil Meena, Chaudhri",Hinduism
Bhojpuris,Indo-European → Indo-Aryan → Bihari → Bhojpuri,"India, Nepal","Paswan, Thakur, Teli",Hinduism
Bhumij,Austroasiatic → Munda → Bhumij[note 17],"India (West Bengal, Odisha, Jharkhand)",,Sarnaism
Bicolanos,Austronesian → Philippine → Bikol[note 2],Bicol Region (Philippines),"Central Bikol, Sorsoganons, Catandunganons, Rinconada, Albayanon",Christianity → Catholicism
Bidayuh,Austronesian → Malayo-Polynesian → Land Dayak[note 2],Sarawak (Malaysia),"Kendayan, Selako, Bakatiʼ, Sara Bakati', Laraʼ, Bukar –Sadong, Biatah, Tringgus, Jagoi, Jangkang, Kembayan, Semandang, Ribun, Nyaduʼ, Sanggau",Christianity
Bilala,Nilo-Saharan → Central Sudanic → Naba,Lake Fitri (Chad),,Islam
Bishnupriya Manipuris,Indo-European → Indo-Aryan → Bishnupriya Manipuri,"Manipur (India), Bangladesh",,Hinduism
Bissa,Niger–Congo → Mande → Bissa,Burkina Faso,,Islam
Blaan,Austronesian → Philippine → Blaan,Soccsksargen (Philippines),,Anitism
Boa,Niger–Congo → Bantu → Boa,Bas-Uélé (Democratic Republic of the Congo),,Christianity
Bodo,Sino-Tibetan → Sal → Bodo,Bodoland (India),"Mech, Kachari","Bathouism, Hinduism"
Bondei,Niger–Congo → Bantu → Sueta → Bondei,Pangani District (Tanzania),,
Bosniaks,Indo-European → Slavic → Serbo-Croatian → Bosnian,"Bosnia and Herzegovina, Sandžak (Serbia, Montenegro)","Significant populations in Serbia, Turkey, Austria, Germany and the United States",Islam → Sunni Islam
Bouyei,Kra–Dai → Tai → Bouyei,Guizhou (China),Giáy,Moism
Bozo,Niger–Congo → Mande → Bozo,Mali,,Islam
Brahuis,Dravidian → Brahui,Balochistan (Pakistan),"Raisani, Jhalawan, Sarawan, Mengal (including Zagar and Zakria Zae), Sasoli",Islam → Sunni Islam → Hanafi
Bretons,Indo-European → Celtic → Breton[note 18],Brittany (France),,Christianity → Catholicism
Bru,Austroasiatic → Katuic → Bru,"Savannakhet province (Laos), Vietnam (Quảng Bình and Quảng Trị provinces)",,Animism
Bubi,Niger–Congo → Bantu → Bube,Bioko (Equatorial Guinea),,Christianity → Catholicism
Budu,Niger–Congo → Bantu → Budu,Wamba Territory (Democratic Republic of the Congo),,Christianity
Buduma,Afroasiatic → Chadic → Yedina,"Lake Chad (Chad, Nigeria, Cameroon)",,Islam
Buginese,Austronesian → South Sulawesi → Buginese,South Sulawesi (Indonesia),,Islam
Bulgarians,Indo-European → Slavic → Bulgarian,Bulgaria,"Pomaks, along with significant populations in Turkey, Ukraine and Moldova, Romania and Serbia, Germany, Spain and the United States",Christianity → Eastern Orthodoxy
Burushos,Burushaski,Gilgit-Baltistan (Pakistan),,Islam → Shia Islam → Isma'ilism
Butonese,Austronesian → Celebic → Butonese[note 2],Buton (Indonesia),,Islam
Bwa,Niger–Congo → Gur → Bwa[note 2],"Burkina Faso, Mali",,Traditional African religions
Cape Coloureds,"Indo-European → Germanic → Dutch → Afrikaans, Indo-European → Germanic → English → South African English",Western Cape (South Africa),,Christianity
Catalans,Indo-European → Romance → Catalan,"Catalan Countries (Spain, France)","Valencians, Balearics, Andorrans",Christianity → Catholicism
Chaga,Niger–Congo → Bantu → Chaga,Tanzania,,"Christianity, Islam, Traditional African religions"
Chakmas,Indo-European → Indo-Aryan → Chakma,Chittagong Hill Tracts (Bangladesh),,Buddhism → Theravada Buddhism
Chamorro,Austronesian → Chamorro,Mariana Islands (United States),,Christianity → Catholicism
Chams,Austronesian → Chamic → Cham,"Champa (Cambodia, Vietnam)",,Islam → Sunni Islam
Chechens,Northeast Caucasian → Nakh → Chechen,Chechnya (Russia),Kists,Islam → Sunni Islam
Cherokee,Iroquoian → Southern Iroquoian → Cherokee[note 19],"United States (North Carolina, Tennessee)[note 20]","Cherokee Nation, Eastern Band, United Keetoowah Band",Christianity
Chewa,Niger–Congo → Bantu → Chewa,"Malawi, Zambia, Zimbabwe, Mozambique",,Christianity
Cheyennes,"Algic → Algonquian → Cheyenne, Plains Indian Sign Language","United States (Montana, Oklahoma)",,"Native American religion, Native American Church, Christianity"
Choctaw,Muskogean → Choctaw[note 19],"United States (Alabama, Florida, Mississippi, Louisiana)[note 20]",,Christianity
Chokwe,Niger–Congo → Bantu → Chokwe,"Angola, Democratic Republic of the Congo, Zambia",,Christianity
Chukchis,Chukotko-Kamchatkan → Chukchi,Chukchia,Chuvans,Christianity → Eastern Orthodoxy → Russian Orthodoxy
Chutiya,Sino-Tibetan → Sal → Deori[note 4],Assam (India),Deori,Hinduism
Chuukese,Austronesian → Micronesian → Chuukese,Chuuk Lagoon (Federated States of Micronesia),,Christianity → Catholicism
Chuvash,Turkic → Oghur → Chuvash,Chuvashia (Russia),"Virjal, Anatri",Christianity → Eastern Orthodoxy
Circassians,Northwest Caucasian → Circassian[note 2],Circassia (Russia)[note 1],"Adygeans, Kabardians, Cherkess, Shapsugs",Islam → Sunni Islam
Copts,Afroasiatic → Coptic[note 21],Egypt,Sudan and Libya along with the Coptic diaspora,Christianity → Coptic Orthodoxy
Cornish,Indo-European → Celtic → Cornish[note 22],Cornwall (United Kingdom),Significant populations in the United States and Australia,Christianity
Corsicans,Indo-European → Romance → Corsican[note 18],Corsica (France),,Christianity → Catholicism
Cree,Algic → Algonquian → Cree[note 23],"Canada (Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador)","Innu, Naskapi, Atikamekw, James Bay Cree, Moose Cree, Swampy Cree, Woods Cree, Plains Cree, Métis (including Métis in Canada), Oji-Cree",Christianity
Croats,Indo-European → Slavic → Serbo-Croatian → Croatian,"Croatia, Federation of Bosnia and Herzegovina (Bosnia and Herzegovina)","Bunjevci, Krashovani, Janjevci, Šokci, Bosnian Croats, along with significant populations in Italy (including Molise Croats), Austria, United States, Chile, Argentina, Germany, Australia and Canada",Christianity → Catholicism
Czechs,Indo-European → Slavic → Czech,Czech Republic,"Bohemians, Moravians, Silesians, along with significant populations in United States and Canada",Christianity → Catholicism[note 24]
Dagaaba,Niger–Congo → Gur → Dagaare,"Ghana, Burkina Faso",,Christianity
Dagombas,Niger–Congo → Gur → Dagbani,Kingdom of Dagbon (Ghana),,Islam → Sunni Islam
Damara,Khoe → Khoekhoe,Damaraland (Namibia),,Christianity
Danes,Indo-European → Germanic → Nordic → Danish,Denmark,"Significant populations in the United States, Canada, Greenland, and Germany.",Christianity → Protestantism → Lutheranism
Dargins,Northeast Caucasian → Dargwa,Dagestan (Russia),"Kaitag, Kubachi, Itsari, Chirag",Islam
Deccani,Indo-European → Indo-Iranian → Indo-Aryan → Urdu → Deccani Urdu,Deccan (South-Central India),Hyderabadi,Islam
Dinka,Nilo-Saharan → Nilotic → Dinka,South Sudan,,Christianity
Dogon,Niger–Congo → Dogon[note 2],Bandiagara Escarpment (Mali),Ampari Dogon,Traditional African religions
Dogras,Indo-European → Indo-Aryan → Dogri,Jammu Division (India),,Hinduism
Dubla,Indo-European → Indo-Aryan → Bhil → Dubli[note 25],Gujarat (India),,Hinduism
Dutch,Indo-European → Germanic → Dutch,Netherlands,"Gronings, Mennonites (including Russian Mennonites), and numerous colonial descendants such as Arubans, Bonairians, Curaçaoans, Sabans, St. Maarteners, St. Eustatians, Surinamese, Indos, and Dutch Burghers, along with significant populations in the United States, Canada, Australia, and New Zealand",Christianity[note 24]
Dyula,Niger–Congo → Mande → Manding → Dyula,"Burkina Faso, Ivory Coast, Mali",,Islam → Sunni Islam
Ebira,Niger–Congo → Nupoid → Ebira,Kogi State (Nigeria),,Islam
Edo,Niger–Congo → Edoid → Edo,Edo State (Nigeria),"Ika, Emai",Christianity
Efik,Niger–Congo → Cross River → Ibibio-Efik → Efik,Cross River State (Nigeria),,Christianity
Ekoi,Niger–Congo → Bantoid → Jagham,"Nigeria, Cameroon",,Christianity
Emberá,Choco → Emberá languages[note 2],"Chocó Department (Colombia), Panama (Darién, Emberá)",,Shamanism
English,Indo-European → Germanic → English,England (United Kingdom)[note 26],"Numerous colonial descendants include Americans (including English Travellers of Texas[note 27]), Canadians, Australians, New Zealanders, English South Africans, and significant populations in Commonwealth Caribbean, Saint Helena, Botswana, Kenya, Zambia, Zimbabwe, Namibia, Pakistan, Myanmar, India, Sri Lanka, Hong Kong, and Singapore.",Christianity → Protestantism → Anglicanism
Esan,Niger–Congo → Edoid → Esan,Esanland (Nigeria),,Christianity
Estonians,Uralic → Finnic → Estonian,"Estonia, Setomaa","Võros, Setos",Christianity → Protestantism → Lutheranism[note 24]
Evenks,Tungusic → Northern Tungusic → Evenki,"Russia, China",,Shamanism
Evens,Tungusic → Northern Tungusic → Even,"Kamchatka Krai, Magadan Oblast, Sakha (Russia)",,Shamanism
Ewe,Niger–Congo → Kwa → Gbe → Ewe,"Togo, Ghana","Anlo Ewe, Waci",Christianity
Fang,Niger–Congo → Bantu → Beti → Fang,"Río Muni (Equatorial Guinea), Gabon",,Christianity
Gabrieleños,"Indo-European → Germanic → English, Indo-European → Romance → Spanish, Uto-Aztecan → Takic → Gabrieleño[note 28]",,"Native American religion, Christianity"
Fijians,Austronesian → Malayo-Polynesian → Fijian,Fiji,"Fijian Americans, Fijian Australians,",Christianity → Protestantism → Methodism
Finns,Uralic → Finnic → Finnish,Finland,"Kvens, Forest Finns, Tornedalians, Ingrian Finns (including Siberian Finns), Savonians, Tavastians, Ostrobothnians, and Murmansk Finns, along with significant populations in Sweden, Switzerland, Australia, United States, Argentina, and Canada.",Christianity → Protestantism → Lutheranism
Fipa,"Niger–Congo → Bantu (Zone M) → Fipa, Niger–Congo → Bantu → Mambwe-Lungu","Rukwa Region, Tanzania (Sumbawanga Rural District, Nkasi District)",,Christianity → Catholicism
Flemings,Indo-European → Germanic → Dutch,"Flanders (Belgium), French Flanders",,Christianity → Catholicism
Fon,Niger–Congo → Kwa → Gbe → Fon,Dahomey (Benin),Egun,Christianity → Catholicism
French,Indo-European → Romance → French,"France, Romandy (Switzerland), Aosta Valley (Italy)","Arpitans, Burgundians, Champenois, Free Countians, Gallo, Lorrainers, Normans (including Channel Islanders), Picards, Poitevins (including Saintongeais), Barthélemoise, Saint-Martinois, French Guianese, Caldoche, Réunionese (including Zoreilles), Saint-Pierrais, along with numerous colonial descendants such as Pieds-Noirs, French Canadians (including Quebecers, Acadians, and Métis), Louisianians (including Creoles of color and Cajuns), French Haitians, French Malagasy, Franco-Mauritians, and Franco-Seychellois",Christianity → Catholicism
Frisians,Indo-European → Germanic → Frisian languages[note 2],"Frisia (Netherlands, Germany)","West Frisians, East Frisians, North Frisians","Christianity → Protestantism → Calvinism, Christianity → Protestantism → Lutheranism"
Friulians,Indo-European → Romance → Friulian,Friuli (Italy),,Christianity → Catholicism
Fula,Niger–Congo → West Atlantic → Senegambian → Fula,"West Africa (Guinea, Senegal, Mali, Mauritania, Nigeria, Cameroon, Niger, Burkina Faso, Benin, Chad)[note 29]","Wodaabe, Haratin, Fula Jalon, Fulakunda, Maasina Fulfulde",Islam
Fur,Nilo-Saharan → Fur,Darfur (Sudan),,Islam → Sunni Islam
Fuyu Kyrgyz,Turkic → Siberian Turkic → Fuyu Kyrgyz,"Fuyu County (Qiqihar, Heilongjiang, China)",,
Ga-Adangbe,Niger–Congo → Kwa → Ga–Dangme[note 2],Greater Accra (Ghana),"Ga, Adangbe",Christianity
Gagauz,Turkic → Oghuz → Gagauz,"Gagauzia (Moldova), Budjak (Ukraine)",,Christianity → Eastern Orthodoxy
Galicians,Indo-European → Romance → Galician,Galicia (Spain),,Christianity → Catholicism
Ganda,Niger–Congo → Bantu → Great Lakes → Luganda,Buganda (Uganda),Abayudaya,Christianity
Garhwalis,Indo-European → Indo-Aryan → Garhwali,Uttarakhand (India),,Hinduism
Garifuna,Arawakan → Ta-Arawakan → Garifuna[note 30],Saint Vincent and the Grenadines[note 31],,Christianity → Catholicism
Garos,Sino-Tibetan → Sal → Garo,Garo Hills (India),,Christianity
Gayonese,Austronesian → Northwest Sumatra–Barrier Islands → Gayo,"Indonesia (Bener Meriah, Central Aceh, and Gayo Lues Regencies)",,Islam
Gbagyi,Niger–Congo → Nupoid → Gwari,Nigeria,,Traditional African religions
Gbaya,Niger–Congo → Ubangian → Gbaya[note 2],"Central African Republic, Cameroon","Bokoto, Kàrà, Buli (including Toongo), Ali, Mandja, Gbaya-Bossangoa, Bozom, Mbodomo, Gbanu, Bangandu",Islam
Gedeo,Afroasiatic → Cushitic → Gedeo,Gedeo Zone (Ethiopia),,Christianity → Protestantism → P'ent'ay
Gelao,Kra–Dai → Kra → Gelao[note 32],Guizhou (China),,"Taoism, Buddhism"
Georgians,Kartvelian → Georgian,Georgia,"Adjarians, Mingrelians, Svans, Tushetians, Meskhetians, Bats[note 33]",Christianity → Eastern Orthodoxy
Germans,Indo-European → Germanic → German,"Germany, Switzerland, Liechtenstein, Eastern Belgium","Bavarians, Franconians, Hessians, Hunsriks, Upper Saxons, Lower Saxons, Swabians (including Danube Swabians), Rhinelanders (including Colognians), Alsatians, German Swiss, Liechtensteiners, Pomeranians, Volga Germans, Baltic Germans, Silesian Germans, Carpathian Germans, North Schleswig Germans, Eastern Belgians, Transylvanian Saxons, Amish (including Pennsylvania Dutch), Hutterites, Mennonites (including Russian Mennonites), Walsers, along with significant populations in the United States (including German Texans), Brazil, Mexico, Argentina, Canada, Chile, Kazakhstan, Australia, and New Zealand.",Christianity
Gogo,Niger–Congo → Bantu → Gogo,"Dodoma Region, Tanzania",,
Gilaks,Indo-European → Iranian → Western Iranian → Gilaki,"Gilan, Iran",,Islam → Twelver Shi’ism
Gola,Niger–Congo → Gola,"Liberia, Sierra Leone",,Islam
Gonds,Dravidian → Gondi[note 34],Gondwana (India),"Godha, Madia Gonds, Muria, Koya",Hinduism
Gorontalo,Austronesian → Philippine → Gorontaloan,Gorontalo (Indonesia),,Islam → Sunni Islam
