date,income,term,interest,principal,approved,adj_bls_2,id,race_asian,race_black,race_hispanic/latino,race_other,race_white,gender_female,gender_male,gender_non-binary,zip_60611.0,zip_60614.0,zip_60615.0,zip_60623.0,zip_60625.0,zip_60626.0,zip_60637.0,type_auto,type_home,type_personal
2013-09-01,44947.0,360.0,b'gAAAAABijUOsoNVH10Xo-JsKNfjU9Rw5wZcYwYMgHASrJGMM-44GIPYvG6EoJ0UPSjC3hCD3oCgGOUnK34qy5rblhSKjctqejYcCop5w9wuGVGHKrK6H9ok=',b'gAAAAABijUOsZB77h0_6CMyac6zC-TuO75zma2QPpk1CZXcCyAyqK8tkt9KlxNs_9VBAkKvBGR1De_CF9a8QLFf09A4sybnRqw==',False,0.08,AP20139-3-11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2018-04-01,303014.0,360.0,b'gAAAAABijUOsaBNAPxJF6zhRKSY4Nztcg3G4cwOU5WA0tfu2B0PHfwGEsfA_Q90gg3ALdLDCbwbsbsyk9_zW4jghLKE6OxVwhmVqsxo54I0-CLTinVnUd38=',b'gAAAAABijUOs3lqcA3lO7LaaBRCfCLPQaNLabPd2dtrHgQ7XHsQfAgGFELzCyp63HEhEqib4pLdbhmRYWh_Eviv8B7-MciOteQ==',True,1.69,AP20184-0-6,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
2012-08-01,300200.0,72.0,b'gAAAAABijUOs_JpNU5eR2KNcXyBF43pHxWgjaXd0IOPLVm68h8AmSG-k8Awj5Olsp35dcRgFZf_Js1dslZOulTheIkHUnBa_gNvElHoJUuqsjdqxzElA7uM=',b'gAAAAABijUOsRuPivVWBmoSvf8MYsweyIBzfPOy70Surrsgsn2MfBZEQhr5e-dIfALapZkJuZ77wSeGhWJthaX3nsmz-ieA6DQ==',True,0.13,AP20128-2-64,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
2013-03-01,6238.0,60.0,b'gAAAAABijUOsbA4F2VJZHBL4hrswiqh6ZS7GM7eBWuPa-WY0JMVnwOr7HR6p4oIOiaNNouULAFnRugoJax3ERu9Yj4p45FkwhMERSvzQ8QBTy0ao2J1n59U=',b'gAAAAABijUOsUnRuinNcwAgUtZPGPshd3s33Y4G9oLvSpCReXOEzsp6663jmJ4FJ1AALfs-dhmkXYrZ3ZkvvJk0jNiRxXoOZIA==',False,0.14,AP20133-3-43,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2016-01-01,29667.0,60.0,b'gAAAAABijUOsJvobi3OBCzPuXVl-XAMmk3wppmKBY5vnuuff6Ie5jYGqHlXcI5dpoQOqV3jIhDmSVY4s2Na4-6Gq1eulBbPt_-Ky28RueXsrBviRmNKd3w8=',b'gAAAAABijUOsWzO43LRdefCzDOlk0qnAxA4JjPvOlbNf59iSLBGcTy86O0gxw62rGHgIgzy023Wm7_J3hAUd0yu3Youtl7mofg==',True,0.34,AP20161-1-17,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2018-12-01,116963.0,72.0,b'gAAAAABijUOs0SfScb_efwqD3r9L7fB8JhddIqVYM5fmQlIdBVuwMTxbN0SHYzSmkfEvyWEZdVi8eYGyeoIXMUxR8dKxsCsrBHm4MoT-ifxIrcbs1o0tvU4=',b'gAAAAABijUOsvBig3JsqAaGLVD0Z8U57Aq3TR5w5_cV0SzKurXVEVr43qXQtbuO2Hzr_Ny8v-hOjYzJG7tox7oLjISrLwYYMyg==',False,2.27,AP201812-2-16,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2011-10-01,10278.0,72.0,b'gAAAAABijUOskAoGthWESN643qN7K9UdVIg3O66zhoQqVNUxSM55EdvjSbAFZ550O5LCBhrSIwz_qTa0hIeHxHbQXxHqppTJmL3k_c0B7HG2Qg8ufBU_Cy8=',b'gAAAAABijUOsHReXIO0vARTtcMnzjCZv8eDI0bWlyAoQJNSJZb9-sphivTlD6aZEgaY2Eq_nJJpLzVZWho-UlUXmgysCxEEa0A==',True,0.07,AP201110-1-8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2016-11-01,155551.0,180.0,b'gAAAAABijUOs8TYS0oYNFSQ52AdWQaBlvYcTJD-jrITRZIC7k5FKe-mf2_twNWcOoAxPh0m-Rzqeqo49fxxidpXjETc0cwTT7lok18uyVfc6mVu5n4r2otc=',b'gAAAAABijUOs-8j9dG22rJ-AQhk89zsp8wSFxwJOw6AE8SL1hQfFMyw3K5ABoRl9Jbh-IUH2RTYw8P51WV3DikAc0FhWBuuFXQ==',False,0.41,AP201611-3-48,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2016-10-01,65277.0,300.0,b'gAAAAABijUOsjAgcA0eZocEsepDDGlAlcSSPimAMfK8JXoD6hPYbDQ5ZZLEEZvInKFiH9-GkhGALoqxrJsxH2Fzm_BBu-spBjkaWaZ26I_94L7HBXi-4jlk=',b'gAAAAABijUOsm3SS6b88i6Gc1r_J-b4PB1V2luVlwEsjOYpsg9_aIZlUueavFsKQNeYmtjXSwg5mVkZ91nVJ4fxNxPNRWXY2MA==',False,0.4,AP201610-1-41,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2014-06-01,31124.0,60.0,b'gAAAAABijUOsDYZgLictbK6VnDdU69JYJaJpYsp3dHUF_7vpJ_xVwGT_R5SzhJShF_OGbCUx0L1_ZBGHKm-Aq09b7iQIS4fTZyrXmQ-MF_G30m_pb5RTkw4=',b'gAAAAABijUOseOh5uwxBh-9rVHaQkMDBOHIAUD7kBxVEdb5q_3G55mbNzuHjuJ2YG0b0Q_2GxN41xbikG5S3nr6BKU4O-cweMA==',False,0.1,AP20146-1-37,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2018-05-01,171927.0,84.0,b'gAAAAABijUOscIbmFgPdgfLOPkkLKFfz7H6C3Lyew4QMA0mGiRhQKt-oFuG9s2Qd4PkvjKf3JqKmaY_AEnCXrznOF6geGsRPEX1-otyxmsp6nX0bbhnmgK0=',b'gAAAAABijUOs04XluxTH0MHd7on4xrBZ1jM2oae4QcXGE3b1P5x44l1Spsf8LLRGCp808lJVtYCjCIK7ldW3s0tswQD7KNrXbw==',True,1.7,AP20185-0-8,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
2013-04-01,119102.0,300.0,b'gAAAAABijUOsEu76t3Xws1Z0hZR11sV3WQW6-R_2PjtjVzNRL78Ld0MCxlFGxXPbQ0CWvjY9zD3CbIVBs-uaZBFDbexCFANVTjq60X9RrSq4-7ZdJPN5Rb8=',b'gAAAAABijUOsXxAWatwckkCZ6xB_NGF4cHYvS7ZK3U2EF6sqxLa36BPpWvlUv4K8f5Wa-ayLmPtiLvLAwMoDS4WUV_k-MEZdrg==',True,0.15,AP20134-1-94,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2016-01-01,34480.0,48.0,b'gAAAAABijUOs6MsmW9b_JIjzJTaS6sZV-RVLpL9GsNG7IEsamDOgWwWQqi7_lPkFjbsWQFWLUIvLY2TJviOPjZ3ktanMZAmdR-cmvEDxbmHBlqrhwQa6Low=',b'gAAAAABijUOsLaGIgRmXyUzXu54NLPib6oVJJsanRgZTQYYAHR307ZL-sTptFkewdVqOqEVMam70lhvtEQ_FVv27FruzjDQnug==',True,0.34,AP20161-0-27,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2016-07-01,115622.0,180.0,b'gAAAAABijUOs7-3DV0kMqYp2TTlW9LObg2JkjG06MBDpJsUy11tBpvioQWH3gTryXC1KbNtfPvMFmPq4pYYja_z_AJJdiXN-80spUjfqisLNeFiPMkby4p0=',b'gAAAAABijUOssTlzj_XreHzjur7CQp7WqHSZ22w9TxZOFcd6F45Z3BAy65RceK09oasIl7rgbJsSgCoURG2MfDJ_AezrfjvYxQ==',False,0.39,AP20167-3-91,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2018-03-01,48410.0,60.0,b'gAAAAABijUOsi0uUX3u-t8blRI5zkSceITejIvZci_-VCc8XFdeSmhKlxAa8X2dmPyQaZZ7XT4A0kFralsxiIEk7XUWs6ic-tVdgQ4ww86aqAqWCX-HW-h8=',b'gAAAAABijUOsJA_R4zfUGnKgKKHKQ77Kz4BJVlBrRgTa78a2fMGRJIU2eUyawRQvq0fNXBNquaNmbMtN3UUdftj9W4ngLR15hw==',False,1.51,AP20183-0-67,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2017-02-01,29202.0,24.0,b'gAAAAABijUOs7p-UQuxOsmc52uuWPyKokO_kCemOZUHLcqPc_ppvBqRbSraiFyBhS5ZioZi3nnJj1mxNfVv7_wW6IdAKaIIzCpgXf71k1hF7raF5LxVmIPM=',b'gAAAAABijUOs5yx-KzIHn24eQOlpJgWPnjmWNMOQToGgYbE_FQrZh01u2lu7fBFlmKcAeoQu4_hWMJKMTCX4IRaEpUR0cAWKkA==',False,0.66,AP20172-2-37,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2017-05-01,102189.0,84.0,b'gAAAAABijUOsA3Xto3cCOqH9b3wNpZ-_zBPBDrjaWqhckUpsuvKS6WOPe9offPV-xB-3wlai1Fx5NuQHNSWyk20566EnTosY4c2PZCMT77vQk04I4iEaqCc=',b'gAAAAABijUOszhjZ7Y1ia9wRezMhqy2Q9y2hje2Q1FtYNg4_QJinOOIj1Nlfb31O22ZJHfXKcU0oKlQZEruqPz8iMfYzjUEB2g==',True,0.91,AP20175-2-26,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2016-08-01,34656.0,72.0,b'gAAAAABijUOsGaZQP1BAXdKpM5y9zDG8_7Nr-6N-cChDNOYNfPpjCCJD9hU2a7qalYvJwzq09G4g82jeHeVNP6wRGYD6gDPMAU05EGt7vM8aPnGGnwuvRMs=',b'gAAAAABijUOseWrIZGDgEq-rWlIlf7YmEDZp-RA8qofYwyUoKGSw7VxtJ6G8LaAswyLkMWxxYilSWOxHIQeM2gnmNOV6T6oZbg==',False,0.4,AP20168-3-57,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2015-08-01,25732.0,300.0,b'gAAAAABijUOsynefnfls69NRJ8t6XMdrpeOwR4P5qme-VWN0yIgLo4mkzeqIypVD4SWeKH5r7nQHh-hYhPufTEtlPBtlK56URTCcvuS5pPkHT4qwSe-rIQ0=',b'gAAAAABijUOsdZtBPaMHl_76zsq0joyO-baxfruy2Axj7V6aALwEoyZovEQJAjcCX7_TF34DUnd9RsY2a-Vk0T-toA73td3mYQ==',True,0.14,AP20158-1-18,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2016-08-01,38268.0,72.0,b'gAAAAABijUOsUcOAtxwaYTdiaELawuirBjE9NjECVg0A4RdERJ_HR8G6SR3XSvh3-571cXZPhcGjCdSie0en4rMjv9HzzPjrtrQXGtgdNvaoSrpeTSZRap0=',b'gAAAAABijUOsaKZZXM97G-3FRYYxMfDVVfPUIQMciVf0vj0A7k1suoXtojBgoc_TPJtDFoLRorTYKh0xKB0FLxd_KXaSnoes1g==',True,0.4,AP20168-1-23,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
2016-07-01,44646.0,60.0,b'gAAAAABijUOstQ2lmIkzC9BrsQSf8d1fOsL2nRgj9nwcp6diW0iZP6HLbw2lmYSOt2jysuXd5AsXoKkmz2MWxlKnlKt0xx9RcJ6yBszP4HhgYEezEa6rKAA=',b'gAAAAABijUOsVq56SGncMvOQsAvnd6ZGM8nNAyC5i9X-M9JaQXzO7jdZ6wmIby4l4RaQ22C3dRX3CP08hivFIzIhhe8xSDIzTg==',True,0.39,AP20167-3-89,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2014-08-01,201502.0,300.0,b'gAAAAABijUOs9qYyGFvbNE_fTfXNEp4_n171sGc5iXb8NwJ1vXfiKSHE7WL60gwDtq3Bed-uNEXUFVKSCumZvmLup1wAkUypsTQblDWHXftOj_XhJfjrczE=',b'gAAAAABijUOsCWPpJX5WT-HELrNsie-vvpr07vik8fG9PMT1z6FE8GI3QUPxqwU08JUUwGkaMn55_C3Pc6pLiw1uJOxJBXWqSw==',True,0.09,AP20148-3-43,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2017-07-01,92464.0,360.0,b'gAAAAABijUOsMsP0m9-i5-33I6FAglv4YpKahfWg3x6FeTu1Wmvp67yG5T4KWm5jCeLT9PC4MrXVMp8bWveoabN561kJe0-66Q6kJtEfDZmibQU0QTI1QIo=',b'gAAAAABijUOsiBui1axvNBEckSQkFZOBXCQhD-6hlJcrojrs1AGukYqp3WT0CHAcR_mcLfEK3EqAXUROD-_aepOPblutWCoNFQ==',True,1.15,AP20177-1-47,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2011-11-01,26005.0,72.0,b'gAAAAABijUOsw_lHf6EYo2KNPtTlSrIz3VO1tzWLRdYPss4WdpnDNRu6rSdYYfUWvGZQdwXVyQ8V7hnAjz9TUQ9cSS2Tv_P3NE5Ie8B48uIL4Gt6zGkhNiw=',b'gAAAAABijUOsYHhpsn8Rvk-wrHmymQbV6TOYZf0stdbTCIX700hXYu7TvYsJ0caoktHjMvH9Tun7Ghorei4B5uWzd0PjiCIpgg==',False,0.08,AP201111-1-77,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2017-05-01,16688.0,300.0,b'gAAAAABijUOstpENEGQPRniX5UfmNPDY0W3DO7BxgUJYV9vmA0mphxX85vFm67Wak2gDuYWMDoNI-BBnhF8LsRjLpGkk7uf3K--5qIu548RSh0aaZEI8Jbo=',b'gAAAAABijUOsHaAvyP6y0CS1HyJZQXo15VVh93hbuJsQHPaeeCSEw625bVo6EaV87nO1kH7dPPBSkwC7tqPwHAGGn50kS4Betg==',False,0.91,AP20175-0-70,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
2017-11-01,56584.0,180.0,b'gAAAAABijUOsXQePlZBu23lLr1WOZN5VEEtzRwc2ZqtSGy977_uqnQaHiBeJ_0u_67-YIirf37kTjmnv8SCjI_LCcEc9ZJLd5gS0OT4zRRmLHVmcE6vGDXc=',b'gAAAAABijUOsRBxQHcibGcA3OVjaZXQoyP5YePX3hcUw4GJT_zAqeOch6FlGc4-56BMAT_JLQbuHDbJ4WDJTJ2bXyrW4P_PIZw==',False,1.16,AP201711-1-22,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2013-05-01,2215.0,360.0,b'gAAAAABijUOsaadiMan2X9w7UU9isCYWXg75GrR29JjztHCdXX0nr-OLbZSKgdIXkHgEVKsg8RMSjprguZEJNbJL5mNmEdAiJ2n4Y-IvEYeVp8IfbBQjPco=',b'gAAAAABijUOsTrzFZNOTI29kk3TszsT8dXt897qynSjhT2b4gYtsXqCLN98MV6I0qxqPzEhhJyF9wN5UJbAKaG3J1n2CfQPHew==',False,0.11,AP20135-1-83,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2013-03-01,10401.0,24.0,b'gAAAAABijUOs7WaASmcKIVCmUiDfUUrE0ET79i__qz4G6nZMv4UXd8FhobVWo8ovLsxvOKAMzH8RJgaVA2Fpq46yxhEzioiyCGrPXVeFlxnN1DNSv1MuyY0=',b'gAAAAABijUOsTx8MhMzQiKlM84ugKsRAZGuVTUhmmRZszmi01eoxU9ui7VOg0Fh1uByhwXk-9stCvW3hkBVtaYxaobbsKg5gyw==',True,0.14,AP20133-0-76,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2015-03-01,55635.0,12.0,b'gAAAAABijUOsFae8D2TopproQImSkVE7f0O4Cy_qFkHvmVPvWqwLvqOozYxC7JWG8xCWT15wBLT_sLW1xbuNRx4dAyFa6--lW6eBCKqRvIkqG_ZlJLi-YfQ=',b'gAAAAABijUOsu46tcraH4gwvqyw4I3yMXwpZVL8NPk4vm9qoYI0y6qqzhAB7atR8TbbVjhnvhYM24ZELWuH231HbQHv6guX5qA==',True,0.11,AP20153-3-19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2016-02-01,16466.0,24.0,b'gAAAAABijUOsZZBta29pOi18e2ULDgiKTCd54iPGS2giWyU8T0GUWUgC9AoB1N9BAeq9BodMsG6ZmYW-gMs9A7zbTRiBJae0MqiXPlGe4wa0TipGupu5C1U=',b'gAAAAABijUOs5t5CszKbYIpMagOBs6IOqZ-afKzHBQxqwNgmf2Epmxr0cGtO30v88UYhm-BoWBdn4VcjwPrnlJSL7EODFZPqig==',False,0.38,AP20162-1-73,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2018-03-01,56256.0,84.0,b'gAAAAABijUOsh5cndgXOYuXVlZsSgqm7HNwh6jql3Zbkp3SP8sq6Xq4jej_Jr52AZofsIIvo092O1IUlWIYHcPtgSWx_41QXZEm80-nwgBK23qSeLUIEClM=',b'gAAAAABijUOsqx0tOou5LdNvWBB3q-c3FK6nxhFPbGnSqQy_sCJWybKQDXUJnIq0AFp0LAdeUnsDdgkx45KwiQouq_fuWtbyhw==',False,1.51,AP20183-3-18,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
2017-11-01,93705.0,300.0,b'gAAAAABijUOseNwbY_rQ8NVa60z5YGE-H7yzxh_bc41I7cO8YW8ATR1cOwU0j72qAJBIGoDMf9dlpzQV1whG-HQ3DCfX-nma6uJ8l6DAxYbJFBJkXdJ_mWI=',b'gAAAAABijUOsZhm9He79UHJi1HAdUj6X0h3S8SzgKKxus0pcB8QMDiFrVSOYM3f85EQgoEDQOB_Fq2bbqzGK-Zha8GvNS7iWFw==',True,1.16,AP201711-0-31,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2017-07-01,7003.0,24.0,b'gAAAAABijUOsng4Y8Ryg5YO_BKvNB37B_wXNLW1reyx9juqeqWqFHvzLVeWDh35A_06M4ZPH0gD7K5UdFV_gkrxC3Pg9cXZjGvyVHvG_5Tb5Q5JykCHPds4=',b'gAAAAABijUOsJe1Wp4vI7X-CeBjt9ee7Xzqk3eLeNXrDA7Q7G_gmZsENWAue6edrkAfxiwSwNDYAJqCEeDmUEsP1sozvMD0sXg==',False,1.15,AP20177-2-0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2014-11-01,40035.0,360.0,b'gAAAAABijUOsgwskwy3m3UAF1j3opjev1B3NYBy-XysLhYrOcWqh-28KWgtdkeNvdCuPdV4ogoWUMtPiTl7NRaOJxZmdnIy8-6CljXXt3qZZJzm1BIPotjY=',b'gAAAAABijUOs4ZPXwymeEDOHrVlD5ebiazbY8yYi1PWP-to8qUjX3xw5EmfO9ZlgGPNbi0-d_oHsOSSCMBQ95qNBiUBGDmFqrg==',True,0.09,AP201411-0-8,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
2018-08-01,90654.0,72.0,b'gAAAAABijUOsCu88X8zQNEvtX26DuZN_afGsEVehcx4qOh3KU6opAv8nhkMJ5PTtHpUaGVZKuMuaQLAmEIdbnsfcvbi1hG9Gpyy9l5NUQfJr6NRMi_WYZa4=',b'gAAAAABijUOsN3lEh8NlYK-BOu9jjx3gwwbI6vfV6RGdTeM13hA9VspH3wgv4lNI-dFyJ28N0OU5hURi00wv5FxHCXkIuZg8kg==',True,1.91,AP20188-2-58,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2012-03-01,163865.0,240.0,b'gAAAAABijUOsqErly3INYzQWT9FxEDC3MdyXfoEHMAejRq0bsrTi_qmVcqeTKFS9FvYT2R7xasNqeEI5t8lh6SNxiX0suebMx9oZhiOmwhKLhkhogR1xUpg=',b'gAAAAABijUOszKsQ6o8u8_dpVhGES1Dsp3p7E70cjtWIuEmrte9-9agk6fsUe7HgtzuEAi5O8ZcS-Wo0aOJZVLbTtBXIOVKq9g==',True,0.13,AP20123-2-64,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
2012-09-01,684.0,300.0,b'gAAAAABijUOsK67_L_yZVEuy1AdhxZXYnLRLMDjD7Vv-8nldlJg9Hc7qWNS_nbm7GTpB_3K92VDZzTDmQo4zr9LmJGX2mAyN6mHGMX6Kbi6DOQKIfLdZ_x8=',b'gAAAAABijUOs6IN5wTDoXbOh7bCIEwwfeDKju4supjI61b3Id7GESc-IaCwJHs9c-q8oyH5049FCFAfMJrOun8j7eqBVnkDdkw==',False,0.14,AP20129-0-81,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2013-09-01,22201.0,360.0,b'gAAAAABijUOsmTlK1zMl1NZZxeeXMlhrx6pByt3QJE-dCkwNa_HwB0uxHuG1SDXIlcbVSAFuvau0zdyAFRUhM-owBvnfKVIzID34RRCSH-s1-6JbRmwhg8s=',b'gAAAAABijUOsPQP4B1VMsZZh4p1sl00tv_pUTlwaP2F-xNK1oc02KfUunC39Ou-zAQc61p8h9OVGeAvOBFIK-_IBpuVGSjroYw==',False,0.08,AP20139-2-23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2015-05-01,11592.0,72.0,b'gAAAAABijUOsNeoAnRSDOz99RNpelIJiy5ZS7A9geZVpl0z_w-6AFybI4F2Ee2F3RIya2PUH1uzTGf3SP7EDD75xR0jpuQTt9zqEscR6jW1r28bAK6YmlVk=',b'gAAAAABijUOsJaQ2l63dyWS8fV5Ya9ELbjIHVb0s9UlRILDcThPlMVfMW6ByW3aGrD7eDtcpDXb2Jbl9qdZJHyowjr5vWuikJg==',False,0.12,AP20155-2-56,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
